Rectangle rule:
end	steps	result	time
1.000000e+01	1.000000e+01	0.845270	3.000000e-07
1.000000e+01	1.000000e+02	0.899328	1.500000e-06
1.000000e+01	1.000000e+03	0.899993	1.380000e-05
1.000000e+01	1.000000e+04	0.900000	1.426000e-04
1.000000e+01	1.000000e+05	0.900000	1.365500e-03
1.000000e+01	1.000000e+06	0.900000	1.044950e-02
1.000000e+01	1.000000e+07	0.900000	6.209340e-02
1.000000e+01	1.000000e+08	0.900000	6.128486e-01
1.000000e+02	1.000000e+01	0.356288	1.000000e-07
1.000000e+02	1.000000e+02	0.925860	6.000000e-07
1.000000e+02	1.000000e+03	0.989186	6.300000e-06
1.000000e+02	1.000000e+04	0.989992	6.270000e-05
1.000000e+02	1.000000e+05	0.990000	6.050000e-04
1.000000e+02	1.000000e+06	0.990000	6.188800e-03
1.000000e+02	1.000000e+07	0.990000	6.210460e-02
1.000000e+02	1.000000e+08	0.990000	6.158462e-01
1.000000e+03	1.000000e+01	0.046760	0.000000e+00
1.000000e+03	1.000000e+02	0.362885	7.000000e-07
1.000000e+03	1.000000e+03	0.933908	6.100000e-06
1.000000e+03	1.000000e+04	0.998171	6.530000e-05
1.000000e+03	1.000000e+05	0.998992	6.140000e-04
1.000000e+03	1.000000e+06	0.999000	6.099200e-03
1.000000e+03	1.000000e+07	0.999000	6.142700e-02
1.000000e+03	1.000000e+08	0.999000	6.199324e-01
1.000000e+04	1.000000e+01	0.004819	1.000000e-07
1.000000e+04	1.000000e+02	0.047617	7.000000e-07
1.000000e+04	1.000000e+03	0.363547	6.200000e-06
1.000000e+04	1.000000e+04	0.934713	6.710000e-05
1.000000e+04	1.000000e+05	0.999070	7.202000e-04
1.000000e+04	1.000000e+06	0.999892	6.017000e-03
1.000000e+04	1.000000e+07	0.999900	6.123380e-02
1.000000e+04	1.000000e+08	0.999900	6.115858e-01
1.000000e+05	1.000000e+01	0.000483	1.000000e-07
1.000000e+05	1.000000e+02	0.004908	6.000000e-07
1.000000e+05	1.000000e+03	0.047703	5.800000e-06
1.000000e+05	1.000000e+04	0.363614	5.780000e-05
1.000000e+05	1.000000e+05	0.934793	6.113000e-04
1.000000e+05	1.000000e+06	0.999160	6.061000e-03
1.000000e+05	1.000000e+07	0.999982	6.097410e-02
1.000000e+05	1.000000e+08	0.999990	6.130454e-01
1.000000e+06	1.000000e+01	0.000048	1.000000e-07
1.000000e+06	1.000000e+02	0.000492	6.000000e-07
1.000000e+06	1.000000e+03	0.004917	6.000000e-06
1.000000e+06	1.000000e+04	0.047712	5.950000e-05
1.000000e+06	1.000000e+05	0.363620	6.013000e-04
1.000000e+06	1.000000e+06	0.934801	5.974100e-03
1.000000e+06	1.000000e+07	0.999169	5.991800e-02
1.000000e+06	1.000000e+08	0.999991	6.090089e-01


Trapezoidal rule:
end	steps	result	time
1.000000e+01	1.000000e+01	1.019744	1.000000e-07
1.000000e+01	1.000000e+02	0.902238	1.500000e-06
1.000000e+01	1.000000e+03	0.900013	1.480000e-05
1.000000e+01	1.000000e+04	0.900009	1.535000e-04
1.000000e+01	1.000000e+05	0.900000	1.574400e-03
1.000000e+01	1.000000e+06	0.900000	1.565280e-02
1.000000e+01	1.000000e+07	0.900000	1.569461e-01
