N	dq	f
14	0.044354	     0.021246372580425426
15	0.031627	     9.469394067378209101
9	0.030838	     0.015692076357604015
13	0.001005	     0.018054310959778847
8	0.032325	     0.022237701840963183
7	0.028762	    12.908829426358058967
5	0.041413	     0.014324099791950103
12	0.064270	    15.472818693317419658
7	0.007423	     0.060362475771547151
15	0.031475	     0.011764920989864253
11	0.096899	     0.558287322222614679
13	0.059106	     0.041074266228164888
10	0.029070	     0.032351104270617638
5	0.035367	     0.162729835131915995
11	0.063718	     0.026188891546347431
6	0.014635	     0.034047443280397570
10	0.055638	     0.026838305114784466
7	0.064888	     0.065545258605784223
12	0.010749	     0.006628835849235082
5	0.039924	     0.143459700544551677
7	0.090066	     0.041037117367407540
14	0.015740	     0.016592724977623600
14	0.038847	     0.008904270656702549
9	0.022426	     0.015702561535428795
9	0.057937	     0.026923043958800193
11	0.092996	     0.050524213747284406
11	0.004162	     0.020060960548284511
12	0.034169	     0.028884551108475175
9	0.063584	     0.015595537004630825
15	0.067851	     0.734572735110080477
5	0.085555	     0.026474283117137083
13	0.083685	     0.964601320140973995
9	0.006712	     0.062426755012674001
12	0.057161	     0.016012307201240306
12	0.036681	     0.072941432942257522
6	0.086024	     0.026180762137747320
13	0.030532	     0.006855836487577223
10	0.068338	    16.345347359659132991
15	0.029617	     9.901142483617324075
11	0.008773	     0.035484595359237689
6	0.093125	     0.065916288638694143
13	0.001837	     0.008593469043015091
15	0.031553	     0.012803176133262251
6	0.055831	     0.044473251928566118
12	0.024636	     0.049378469538323977
7	0.064015	    23.294293244834772594
5	0.036532	     0.065778416463160377
11	0.058210	     0.010945076094329877
13	0.065618	     0.694618470070270111
14	0.023698	     0.004052027781790671
9	0.061896	     0.064919255809727794
9	0.042898	     0.010203326072943476
11	0.078914	     0.019189094623006907
12	0.072002	     0.005499416450182467
9	0.006419	     0.021045660723931880
12	0.075401	     0.016835170517292098
5	0.002704	     0.085446510179006993
11	0.046267	     0.002521548353859005
5	0.051439	     0.113298192213947838
7	0.005044	     0.023330833547537545
7	0.038451	     0.009703772249704087
11	0.050419	     0.038683678782650423
14	0.039686	     0.024607230618847214
15	0.097405	     0.001797102244004257
11	0.097940	     0.023628025345982573
10	0.041302	     0.007134046512067285
14	0.067595	     0.010048412558708978
7	0.060655	     0.021417648757027116
7	0.089483	     0.021332900026462317
7	0.089483	     0.052839600386225642
7	0.000081	     0.050921400827459738
7	0.000081	     0.057820714895559101
6	0.062529	     0.008949387299701012
7	0.004511	     0.048798438997741438
7	0.074646	     0.048990793486231067
7	0.074646	     0.101703280153799536
10	0.032880	     0.058801653027821803
6	0.051383	    20.162560104244079184
9	0.089972	     0.029053083687277007
10	0.008677	     0.049696244461904494
10	0.056671	     0.010763485152627655
14	0.059749	     1.296256051815287247
15	0.043100	     2.909103482751057346
11	0.090178	     0.020984631747873742
15	0.045871	     0.008026106878893640
5	0.036297	     0.039276173785607875
10	0.059485	     1.128189827001396806
7	0.079072	     0.064180829853738214
5	0.045669	     0.037351872073454390
13	0.016152	     0.025798219197594702
10	0.097238	     0.025246393600568719
12	0.021156	     0.024274527560441326
5	0.019926	     0.014870268312812003
5	0.024511	     0.014874376267951305
5	0.024511	     0.014874376267951305
5	0.024511	     0.014874376267951305
5	0.024511	     0.014874376267951305
5	0.024511	     0.014874376267951305
5	0.024511	     0.041191061303961683
12	0.050272	     2.601392471464547551
