i	autoc
0	1.000000
1	0.999549
2	0.998698
3	0.997449
4	0.995802
5	0.993758
6	0.991318
7	0.988485
8	0.985259
9	0.981642
10	0.977635
11	0.973242
12	0.968464
13	0.963303
14	0.957762
15	0.951843
16	0.945549
17	0.938884
18	0.931849
19	0.924449
20	0.916686
21	0.908565
22	0.900088
23	0.891259
24	0.882083
25	0.872563
26	0.862703
27	0.852508
28	0.841983
29	0.831131
30	0.819957
31	0.808467
32	0.796665
33	0.784556
34	0.772145
35	0.759438
36	0.746440
37	0.733157
38	0.719593
39	0.705755
40	0.691649
41	0.677281
42	0.662656
43	0.647781
44	0.632661
45	0.617304
46	0.601715
47	0.585902
48	0.569870
49	0.553626
50	0.537178
51	0.520531
52	0.503692
53	0.486670
54	0.469470
55	0.452099
56	0.434566
57	0.416876
58	0.399038
59	0.381058
60	0.362944
61	0.344703
62	0.326343
63	0.307872
64	0.289296
65	0.270623
66	0.251861
67	0.233017
68	0.214099
69	0.195115
70	0.176073
71	0.156980
72	0.137843
73	0.118671
74	0.099471
75	0.080250
76	0.061018
77	0.041781
78	0.022547
79	0.003323
80	-0.015882
81	-0.035060
82	-0.054205
83	-0.073309
84	-0.092364
85	-0.111362
86	-0.130296
87	-0.149158
88	-0.167941
89	-0.186637
90	-0.205240
91	-0.223741
92	-0.242133
93	-0.260410
94	-0.278563
95	-0.296587
96	-0.314473
97	-0.332214
98	-0.349805
99	-0.367237
100	-0.384504
101	-0.401599
102	-0.418516
103	-0.435248
104	-0.451788
105	-0.468130
106	-0.484269
107	-0.500196
108	-0.515907
109	-0.531395
110	-0.546655
111	-0.561679
112	-0.576464
113	-0.591002
114	-0.605289
115	-0.619318
116	-0.633086
117	-0.646585
118	-0.659812
119	-0.672761
120	-0.685427
121	-0.697806
122	-0.709893
123	-0.721683
124	-0.733172
125	-0.744355
126	-0.755229
127	-0.765790
128	-0.776033
129	-0.785955
130	-0.795552
131	-0.804820
132	-0.813757
133	-0.822359
134	-0.830623
135	-0.838547
136	-0.846126
137	-0.853359
138	-0.860242
139	-0.866775
140	-0.872954
141	-0.878777
142	-0.884242
143	-0.889348
144	-0.894093
145	-0.898475
146	-0.902493
147	-0.906146
148	-0.909433
149	-0.912352
150	-0.914904
151	-0.917086
152	-0.918900
153	-0.920344
154	-0.921418
155	-0.922123
156	-0.922458
157	-0.922424
158	-0.922021
159	-0.921250
160	-0.920111
161	-0.918606
162	-0.916734
163	-0.914498
164	-0.911899
165	-0.908938
166	-0.905616
167	-0.901936
168	-0.897899
169	-0.893507
170	-0.888763
171	-0.883668
172	-0.878226
173	-0.872438
174	-0.866308
175	-0.859837
176	-0.853030
177	-0.845890
178	-0.838418
179	-0.830620
180	-0.822497
181	-0.814055
182	-0.805296
183	-0.796225
184	-0.786845
185	-0.777161
186	-0.767177
187	-0.756896
188	-0.746325
189	-0.735466
190	-0.724325
191	-0.712907
192	-0.701216
193	-0.689257
194	-0.677036
195	-0.664558
196	-0.651828
197	-0.638850
198	-0.625632
199	-0.612178
200	-0.598494
201	-0.584586
202	-0.570460
203	-0.556121
204	-0.541575
205	-0.526829
206	-0.511888
207	-0.496760
208	-0.481449
209	-0.465963
210	-0.450308
211	-0.434490
212	-0.418516
213	-0.402392
