i	autoc
0	1.000000
1	-0.034699
2	-0.107385
3	0.002380
4	0.052431
5	-0.237621
6	-0.047899
7	0.006197
8	-0.094276
9	0.128476
10	0.074052
11	0.020436
12	-0.099836
13	-0.066243
14	-0.065690
15	0.057205
16	-0.138376
17	-0.040342
18	0.222813
19	0.091375
20	-0.017942
21	0.076724
22	-0.044167
23	-0.052643
24	-0.074969
25	-0.013008
26	-0.068287
27	0.079871
28	0.089035
29	0.013009
30	-0.065327
31	-0.105348
32	0.028080
33	-0.034998
34	-0.124812
35	-0.048467
36	0.026732
37	0.082537
38	0.100580
39	0.029840
40	-0.074702
41	-0.058991
42	0.137118
43	-0.106767
44	-0.095954
45	-0.012288
46	0.157526
47	-0.123156
48	0.064832
49	-0.008231
50	-0.003634
51	-0.037544
52	0.102013
53	0.061147
54	-0.054721
55	0.077958
56	-0.018040
57	0.034451
58	-0.131608
59	-0.003900
60	0.027933
61	-0.002376
62	-0.126981
63	0.043678
64	0.086058
65	-0.067429
66	-0.041546
67	0.042503
68	-0.058436
69	0.016220
70	0.066770
71	0.008531
72	-0.053504
73	0.057386
74	0.052025
75	0.007906
76	-0.005175
77	-0.068932
78	0.000191
79	-0.006918
80	0.008047
81	-0.035831
82	0.037417
83	-0.045408
84	-0.012526
85	-0.007995
86	-0.008226
87	-0.032171
88	0.049514
89	0.032466
90	0.013795
91	0.008355
92	0.032576
93	-0.006600
94	0.004877
95	-0.008258
96	-0.008754
97	-0.013576
98	0.007486
99	0.001961
